Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
289.61	0.10132	24.790	0.040339	-4.0712	-4.0672	-12.972	66.025	79.604	1127.9	-0.33391	617.55	0.20183	liquid
290.61	0.10132	24.761	0.040386	-3.9915	-3.9875	-12.698	66.197	79.785	1124.6	-0.33271	608.19	0.20164	liquid
291.61	0.10132	24.732	0.040434	-3.9117	-3.9076	-12.423	66.370	79.967	1121.3	-0.33151	599.03	0.20145	liquid
292.61	0.10132	24.702	0.040482	-3.8316	-3.8275	-12.149	66.544	80.152	1118.0	-0.33029	590.06	0.20126	liquid
293.61	0.10132	24.673	0.040530	-3.7514	-3.7473	-11.875	66.719	80.339	1114.7	-0.32905	581.29	0.20107	liquid
294.61	0.10132	24.644	0.040578	-3.6710	-3.6668	-11.602	66.895	80.527	1111.5	-0.32780	572.70	0.20088	liquid
295.61	0.10132	24.615	0.040626	-3.5903	-3.5862	-11.329	67.072	80.718	1108.2	-0.32654	564.29	0.20069	liquid
296.61	0.10132	24.585	0.040674	-3.5095	-3.5054	-11.056	67.250	80.911	1105.0	-0.32526	556.06	0.20050	liquid
297.61	0.10132	24.556	0.040723	-3.4285	-3.4244	-10.783	67.430	81.106	1101.8	-0.32396	548.00	0.20031	liquid
298.61	0.10132	24.527	0.040772	-3.3473	-3.3432	-10.511	67.610	81.303	1098.5	-0.32266	540.10	0.20012	liquid
299.61	0.10132	24.498	0.040820	-3.2659	-3.2618	-10.239	67.791	81.502	1095.3	-0.32134	532.37	0.19993	liquid
300.61	0.10132	24.468	0.040869	-3.1843	-3.1802	-9.9667	67.973	81.703	1092.1	-0.32000	524.79	0.19974	liquid
301.61	0.10132	24.439	0.040918	-3.1025	-3.0984	-9.6951	68.157	81.906	1088.9	-0.31865	517.37	0.19955	liquid
302.61	0.10132	24.410	0.040967	-3.0205	-3.0164	-9.4236	68.341	82.111	1085.7	-0.31728	510.09	0.19936	liquid
303.61	0.10132	24.380	0.041017	-2.9383	-2.9342	-9.1524	68.526	82.318	1082.6	-0.31590	502.97	0.19917	liquid
304.61	0.10132	24.351	0.041066	-2.8559	-2.8517	-8.8813	68.712	82.527	1079.4	-0.31451	495.98	0.19898	liquid
305.61	0.10132	24.321	0.041116	-2.7733	-2.7691	-8.6105	68.898	82.738	1076.2	-0.31310	489.14	0.19879	liquid
306.61	0.10132	24.292	0.041166	-2.6904	-2.6863	-8.3399	69.086	82.952	1073.1	-0.31167	482.42	0.19860	liquid
307.61	0.10132	24.262	0.041216	-2.6074	-2.6032	-8.0694	69.275	83.167	1069.9	-0.31023	475.85	0.19841	liquid
308.61	0.10132	24.233	0.041266	-2.5241	-2.5199	-7.7991	69.464	83.384	1066.8	-0.30878	469.40	0.19822	liquid
309.61	0.10132	24.203	0.041317	-2.4406	-2.4364	-7.5290	69.654	83.603	1063.6	-0.30731	463.07	0.19803	liquid
310.61	0.10132	24.174	0.041367	-2.3569	-2.3527	-7.2591	69.845	83.825	1060.5	-0.30582	456.87	0.19783	liquid
311.61	0.10132	24.144	0.041418	-2.2730	-2.2688	-6.9893	70.036	84.048	1057.4	-0.30432	450.78	0.19764	liquid
312.61	0.10132	24.115	0.041469	-2.1888	-2.1846	-6.7196	70.229	84.273	1054.2	-0.30281	444.82	0.19745	liquid
313.61	0.10132	24.085	0.041520	-2.1044	-2.1002	-6.4501	70.422	84.500	1051.1	-0.30128	438.96	0.19726	liquid
314.61	0.10132	24.055	0.041571	-2.0198	-2.0156	-6.1808	70.615	84.729	1048.0	-0.29973	433.22	0.19707	liquid
315.61	0.10132	24.025	0.041623	-1.9350	-1.9308	-5.9115	70.810	84.961	1044.9	-0.29817	427.58	0.19688	liquid
316.61	0.10132	23.996	0.041674	-1.8499	-1.8457	-5.6424	71.005	85.194	1041.8	-0.29659	422.05	0.19669	liquid
317.61	0.10132	23.966	0.041726	-1.7646	-1.7604	-5.3733	71.201	85.429	1038.7	-0.29500	416.62	0.19650	liquid
318.61	0.10132	23.936	0.041778	-1.6791	-1.6748	-5.1044	71.397	85.666	1035.6	-0.29339	411.29	0.19630	liquid
319.61	0.10132	23.906	0.041831	-1.5933	-1.5891	-4.8356	71.594	85.905	1032.5	-0.29176	406.06	0.19611	liquid
320.61	0.10132	23.876	0.041883	-1.5073	-1.5030	-4.5669	71.792	86.146	1029.4	-0.29012	400.93	0.19592	liquid
321.61	0.10132	23.846	0.041936	-1.4210	-1.4168	-4.2982	71.990	86.388	1026.3	-0.28846	395.89	0.19573	liquid
322.61	0.10132	23.816	0.041989	-1.3345	-1.3303	-4.0296	72.189	86.633	1023.2	-0.28679	390.93	0.19554	liquid
323.61	0.10132	23.785	0.042042	-1.2478	-1.2435	-3.7611	72.388	86.880	1020.1	-0.28510	386.07	0.19534	liquid
324.61	0.10132	23.755	0.042096	-1.1608	-1.1565	-3.4927	72.588	87.129	1017.0	-0.28339	381.30	0.19515	liquid
325.61	0.10132	23.725	0.042150	-1.0735	-1.0692	-3.2243	72.788	87.379	1014.0	-0.28167	376.60	0.19496	liquid
326.61	0.10132	23.695	0.042204	-0.98601	-0.98174	-2.9560	72.989	87.632	1010.9	-0.27993	372.00	0.19477	liquid
327.61	0.10132	23.664	0.042258	-0.89826	-0.89398	-2.6877	73.190	87.886	1007.8	-0.27817	367.47	0.19457	liquid
328.61	0.10132	23.634	0.042312	-0.81025	-0.80597	-2.4194	73.392	88.143	1004.7	-0.27639	363.02	0.19438	liquid
329.61	0.10132	23.603	0.042367	-0.72199	-0.71769	-2.1512	73.594	88.401	1001.6	-0.27460	358.64	0.19419	liquid
330.61	0.10132	23.573	0.042422	-0.63346	-0.62916	-1.8830	73.797	88.661	998.56	-0.27279	354.35	0.19399	liquid
331.61	0.10132	23.542	0.042478	-0.54468	-0.54037	-1.6149	74.000	88.923	995.48	-0.27096	350.12	0.19380	liquid
332.61	0.10132	23.511	0.042533	-0.45563	-0.45132	-1.3467	74.203	89.187	992.40	-0.26912	345.97	0.19361	liquid
333.61	0.10132	23.480	0.042589	-0.36631	-0.36200	-1.0786	74.407	89.453	989.32	-0.26726	341.89	0.19341	liquid
334.61	0.10132	23.449	0.042645	-0.27673	-0.27241	-0.81045	74.611	89.721	986.24	-0.26538	337.87	0.19322	liquid
335.61	0.10132	23.418	0.042702	-0.18688	-0.18255	-0.54231	74.816	89.991	983.15	-0.26348	333.92	0.19302	liquid
