Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
394.16	0.10132	0.031286	31.963	45.737	48.975	134.51	27.293	36.371	486.48	50.596	13.048	0.026332	vapor
395.16	0.10132	0.031202	32.049	45.764	49.012	134.60	27.273	36.339	487.13	50.000	13.087	0.026417	vapor
396.16	0.10132	0.031119	32.135	45.792	49.048	134.70	27.254	36.308	487.78	49.415	13.126	0.026502	vapor
397.16	0.10132	0.031036	32.220	45.819	49.084	134.79	27.236	36.278	488.43	48.841	13.165	0.026587	vapor
398.16	0.10132	0.030954	32.306	45.847	49.120	134.88	27.218	36.249	489.08	48.277	13.204	0.026673	vapor
399.16	0.10132	0.030872	32.391	45.875	49.157	134.97	27.201	36.221	489.72	47.722	13.244	0.026758	vapor
400.16	0.10132	0.030791	32.477	45.902	49.193	135.06	27.185	36.194	490.36	47.178	13.283	0.026844	vapor
401.16	0.10132	0.030710	32.562	45.930	49.229	135.15	27.170	36.167	491.00	46.643	13.322	0.026930	vapor
402.16	0.10132	0.030630	32.648	45.957	49.265	135.24	27.155	36.142	491.64	46.117	13.361	0.027016	vapor
403.16	0.10132	0.030550	32.733	45.985	49.301	135.33	27.141	36.118	492.28	45.600	13.401	0.027102	vapor
404.16	0.10132	0.030471	32.818	46.012	49.337	135.42	27.127	36.094	492.91	45.092	13.440	0.027188	vapor
405.16	0.10132	0.030392	32.903	46.040	49.374	135.51	27.114	36.071	493.55	44.592	13.479	0.027274	vapor
406.16	0.10132	0.030314	32.989	46.067	49.410	135.60	27.101	36.049	494.18	44.101	13.519	0.027361	vapor
407.16	0.10132	0.030236	33.074	46.094	49.446	135.69	27.090	36.028	494.81	43.618	13.558	0.027447	vapor
408.16	0.10132	0.030158	33.159	46.122	49.482	135.78	27.078	36.007	495.44	43.143	13.598	0.027534	vapor
409.16	0.10132	0.030081	33.244	46.149	49.518	135.86	27.067	35.987	496.07	42.676	13.637	0.027621	vapor
410.16	0.10132	0.030004	33.329	46.177	49.554	135.95	27.057	35.968	496.69	42.216	13.677	0.027708	vapor
411.16	0.10132	0.029928	33.414	46.204	49.590	136.04	27.047	35.949	497.32	41.764	13.716	0.027795	vapor
412.16	0.10132	0.029852	33.499	46.231	49.626	136.13	27.037	35.931	497.94	41.319	13.756	0.027882	vapor
413.16	0.10132	0.029777	33.583	46.259	49.661	136.21	27.028	35.914	498.56	40.881	13.795	0.027969	vapor
414.16	0.10132	0.029702	33.668	46.286	49.697	136.30	27.020	35.897	499.18	40.450	13.835	0.028056	vapor
415.16	0.10132	0.029627	33.753	46.313	49.733	136.39	27.012	35.881	499.80	40.026	13.874	0.028144	vapor
416.16	0.10132	0.029553	33.838	46.341	49.769	136.47	27.004	35.866	500.42	39.609	13.914	0.028232	vapor
417.16	0.10132	0.029479	33.922	46.368	49.805	136.56	26.997	35.851	501.03	39.198	13.954	0.028319	vapor
418.16	0.10132	0.029406	34.007	46.395	49.841	136.64	26.990	35.836	501.65	38.794	13.993	0.028407	vapor
419.16	0.10132	0.029333	34.092	46.422	49.877	136.73	26.983	35.822	502.26	38.395	14.033	0.028495	vapor
420.16	0.10132	0.029260	34.176	46.450	49.912	136.82	26.977	35.809	502.87	38.004	14.073	0.028584	vapor
421.16	0.10132	0.029188	34.261	46.477	49.948	136.90	26.971	35.796	503.48	37.618	14.112	0.028672	vapor
422.16	0.10132	0.029116	34.345	46.504	49.984	136.99	26.966	35.784	504.09	37.238	14.152	0.028760	vapor
423.16	0.10132	0.029044	34.430	46.531	50.020	137.07	26.961	35.772	504.70	36.864	14.192	0.028849	vapor
424.16	0.10132	0.028973	34.514	46.558	50.056	137.15	26.956	35.760	505.31	36.495	14.232	0.028938	vapor
425.16	0.10132	0.028903	34.599	46.586	50.091	137.24	26.951	35.749	505.91	36.132	14.272	0.029026	vapor
426.16	0.10132	0.028832	34.683	46.613	50.127	137.32	26.947	35.739	506.52	35.775	14.311	0.029115	vapor
427.16	0.10132	0.028762	34.768	46.640	50.163	137.41	26.943	35.729	507.12	35.423	14.351	0.029204	vapor
428.16	0.10132	0.028693	34.852	46.667	50.199	137.49	26.940	35.719	507.72	35.076	14.391	0.029294	vapor
429.16	0.10132	0.028624	34.936	46.694	50.234	137.57	26.937	35.710	508.32	34.734	14.431	0.029383	vapor
430.16	0.10132	0.028555	35.021	46.722	50.270	137.66	26.934	35.701	508.92	34.397	14.471	0.029472	vapor
431.16	0.10132	0.028486	35.105	46.749	50.306	137.74	26.931	35.693	509.52	34.066	14.511	0.029562	vapor
432.16	0.10132	0.028418	35.189	46.776	50.341	137.82	26.929	35.685	510.11	33.739	14.551	0.029652	vapor
433.16	0.10132	0.028350	35.273	46.803	50.377	137.90	26.927	35.677	510.71	33.417	14.591	0.029741	vapor
434.16	0.10132	0.028283	35.357	46.830	50.413	137.99	26.925	35.669	511.30	33.100	14.631	0.029831	vapor
435.16	0.10132	0.028215	35.442	46.857	50.448	138.07	26.923	35.662	511.90	32.787	14.671	0.029922	vapor
436.16	0.10132	0.028149	35.526	46.884	50.484	138.15	26.922	35.656	512.49	32.479	14.711	0.030012	vapor
437.16	0.10132	0.028082	35.610	46.912	50.520	138.23	26.921	35.650	513.08	32.175	14.751	0.030102	vapor
438.16	0.10132	0.028016	35.694	46.939	50.555	138.31	26.920	35.644	513.67	31.875	14.791	0.030193	vapor
439.16	0.10132	0.027950	35.778	46.966	50.591	138.39	26.920	35.638	514.26	31.580	14.831	0.030283	vapor
440.16	0.10132	0.027885	35.862	46.993	50.627	138.48	26.919	35.633	514.85	31.289	14.871	0.030374	vapor
441.16	0.10132	0.027820	35.946	47.020	50.662	138.56	26.919	35.628	515.43	31.002	14.911	0.030465	vapor
442.16	0.10132	0.027755	36.030	47.047	50.698	138.64	26.919	35.623	516.02	30.719	14.951	0.030556	vapor
443.16	0.10132	0.027690	36.114	47.074	50.734	138.72	26.919	35.619	516.60	30.440	14.992	0.030647	vapor
444.16	0.10132	0.027626	36.198	47.101	50.769	138.80	26.920	35.614	517.19	30.165	15.032	0.030738	vapor
445.16	0.10132	0.027562	36.282	47.128	50.805	138.88	26.921	35.611	517.77	29.893	15.072	0.030830	vapor
446.16	0.10132	0.027499	36.366	47.156	50.840	138.96	26.921	35.607	518.35	29.626	15.112	0.030921	vapor
447.16	0.10132	0.027435	36.449	47.183	50.876	139.04	26.923	35.604	518.93	29.362	15.152	0.031013	vapor
448.16	0.10132	0.027372	36.533	47.210	50.912	139.12	26.924	35.601	519.51	29.102	15.193	0.031105	vapor
449.16	0.10132	0.027310	36.617	47.237	50.947	139.20	26.925	35.598	520.09	28.845	15.233	0.031196	vapor
450.16	0.10132	0.027247	36.701	47.264	50.983	139.28	26.927	35.595	520.67	28.592	15.273	0.031288	vapor
451.16	0.10132	0.027185	36.785	47.291	51.018	139.35	26.929	35.593	521.24	28.342	15.314	0.031381	vapor
452.16	0.10132	0.027123	36.868	47.318	51.054	139.43	26.931	35.591	521.82	28.095	15.354	0.031473	vapor
453.16	0.10132	0.027062	36.952	47.345	51.090	139.51	26.933	35.589	522.39	27.852	15.394	0.031565	vapor
454.16	0.10132	0.027001	37.036	47.372	51.125	139.59	26.935	35.588	522.96	27.612	15.435	0.031658	vapor
455.16	0.10132	0.026940	37.120	47.400	51.161	139.67	26.938	35.586	523.54	27.375	15.475	0.031751	vapor
456.16	0.10132	0.026879	37.203	47.427	51.196	139.75	26.940	35.585	524.11	27.141	15.515	0.031843	vapor
457.16	0.10132	0.026819	37.287	47.454	51.232	139.83	26.943	35.584	524.68	26.911	15.556	0.031936	vapor
458.16	0.10132	0.026759	37.371	47.481	51.267	139.90	26.946	35.584	525.25	26.683	15.596	0.032029	vapor
459.16	0.10132	0.026699	37.454	47.508	51.303	139.98	26.949	35.583	525.82	26.459	15.636	0.032123	vapor
460.16	0.10132	0.026640	37.538	47.535	51.339	140.06	26.953	35.583	526.38	26.237	15.677	0.032216	vapor
461.16	0.10132	0.026581	37.621	47.562	51.374	140.14	26.956	35.583	526.95	26.018	15.717	0.032309	vapor
462.16	0.10132	0.026522	37.705	47.589	51.410	140.21	26.960	35.583	527.52	25.802	15.758	0.032403	vapor
463.16	0.10132	0.026463	37.789	47.616	51.445	140.29	26.963	35.583	528.08	25.589	15.798	0.032497	vapor
464.16	0.10132	0.026405	37.872	47.644	51.481	140.37	26.967	35.584	528.64	25.378	15.839	0.032590	vapor
465.16	0.10132	0.026347	37.956	47.671	51.517	140.44	26.971	35.585	529.21	25.170	15.879	0.032684	vapor
466.16	0.10132	0.026289	38.039	47.698	51.552	140.52	26.975	35.585	529.77	24.965	15.920	0.032778	vapor
467.16	0.10132	0.026231	38.123	47.725	51.588	140.60	26.979	35.587	530.33	24.762	15.960	0.032873	vapor
468.16	0.10132	0.026174	38.206	47.752	51.623	140.67	26.984	35.588	530.89	24.562	16.001	0.032967	vapor
469.16	0.10132	0.026117	38.290	47.779	51.659	140.75	26.988	35.589	531.45	24.364	16.042	0.033061	vapor
470.16	0.10132	0.026060	38.373	47.806	51.694	140.82	26.993	35.591	532.01	24.169	16.082	0.033156	vapor
471.16	0.10132	0.026003	38.456	47.833	51.730	140.90	26.997	35.592	532.57	23.976	16.123	0.033251	vapor
472.16	0.10132	0.025947	38.540	47.861	51.766	140.97	27.002	35.594	533.12	23.786	16.163	0.033345	vapor
473.16	0.10132	0.025891	38.623	47.888	51.801	141.05	27.007	35.596	533.68	23.598	16.204	0.033440	vapor
